CD_MUN,NOME_CLEAN,latitude,longitude
1717503,piumTO,-10.209534424814171,-49.8718874023661
1717800,ponte alta do bom jesusTO,-12.05758496749055,-46.59327543430354
1717909,ponte alta do tocantinsTO,-10.749506933892768,-47.324559129857356
1718006,porto alegre do tocantinsTO,-11.510838510876818,-47.04672643323287
1718204,porto nacionalTO,-10.543700535209469,-48.496493460765684
1718303,praia norteTO,-5.474839098977303,-47.781932272418516
1718402,presidente kennedyTO,-8.461880447382594,-48.461591269262726
1718451,pugmilTO,-10.42251526516698,-48.88235878554877
1718501,recursolandiaTO,-8.69736104205583,-47.11310968409946
1718550,riachinhoTO,-6.459935195502463,-48.13620853436147
1718659,rio da conceicaoTO,-11.336993357483282,-46.73765722062885
1718709,rio dos boisTO,-9.235896132202507,-48.45251003703732
1718758,rio sonoTO,-9.647383681035484,-47.49599499567867
1718808,sampaioTO,-5.329649308798053,-47.918819504067905
1718840,sandolandiaTO,-12.400983532718485,-49.87614541640952
1718865,santa fe do araguaiaTO,-7.093112724650833,-48.974977725490504
1718881,santa maria do tocantinsTO,-8.824680287973923,-47.84830069871815
1718899,santa rita do tocantinsTO,-10.969970180514727,-49.295030907855306
1718907,santa rosa do tocantinsTO,-11.397312550712101,-48.10836904629244
1719004,santa tereza do tocantinsTO,-10.298955791665765,-47.74153663882989
1720002,santa terezinha do tocantinsTO,-6.472653829215176,-47.75110292505169
1720101,sao bento do tocantinsTO,-5.9760050010569135,-47.93986189392499
1720150,sao felix do tocantinsTO,-10.068601290161705,-46.677914060307316
1720200,sao miguel do tocantinsTO,-5.54342830880174,-47.59777123301522
1720259,sao salvador do tocantinsTO,-12.577570335618281,-48.364152654063005
1720309,sao sebastiao do tocantinsTO,-5.241004387203314,-48.331742720168336
1720499,sao valerioTO,-11.804044300928078,-48.16966341311738
1720655,silvanopolisTO,-11.130753168029495,-48.00498927649871
1720804,sitio novo do tocantinsTO,-5.63511637485118,-47.684094316356536
1720853,sucupiraTO,-12.113281297020047,-48.834343127365315
1720903,taguatingaTO,-12.387321727910928,-46.565684523410454
1720937,taipas do tocantinsTO,-12.139725046510176,-46.993723658503036
1720978,talismaTO,-12.682171151003816,-49.04845320254879
